,prim_state,area,area_name,occ_code,occ_titl,tot_emp,a_mean,a_wpct10,a_wpct25,a_median,a_wpct75,a_wpct90,year
0,AK,380,"Anchorage, AK ",11-3021,Computer and Information Systems Managers,         210,    70170,41340,52120,67290,83570,113550,2000
1,AK,380,"Anchorage, AK ",13-1111,Management Analysts,         180,    59940,40670,47920,57160,69110,86170,2000
2,AK,380,"Anchorage, AK ",15-1021,Computer Programmers,         380,    56160,37040,46420,54520,66380,79610,2000
3,AK,380,"Anchorage, AK ",15-1031,"Computer Software Engineers, Applications",          50,    59870,42260,49110,59280,69840,82100,2000
4,AK,380,"Anchorage, AK ",15-1041,Computer Support Specialists,         720,    39790,24840,29060,37170,44100,54160,2000
5,AK,380,"Anchorage, AK ",15-1051,Computer Systems Analysts,         310,    57550,39600,47640,58280,67740,78020,2000
6,AK,380,"Anchorage, AK ",15-1061,Database Administrators,          60,    55720,30440,39230,54570,71110,86160,2000
7,AK,380,"Anchorage, AK ",15-1071,Network and Computer Systems Administrators,         270,    48730,32290,39220,48060,58490,68690,2000
8,AK,380,"Anchorage, AK ",15-1081,Network Systems and Data Communications Analysts,          80,    53400,31010,37860,54880,66260,77470,2000
9,AK,380,"Anchorage, AK ",15-2031,Operations Research Analysts,          40,    48290,35680,40420,48160,56060,65420,2000
10,AK,380,"Anchorage, AK ",43-9011,Computer Operators,         140,    35650,22490,29660,34780,43340,50960,2000
11,AK,380,"Anchorage, AK ",43-9021,Data Entry Keyers,         320,    22530,15780,18490,21050,25080,33290,2000
12,AK,380,"Anchorage, AK ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          80,    40760,25270,30580,41120,51560,56410,2000
13,AL,450,"Anniston, AL ",11-3021,Computer and Information Systems Managers,          30,    57110,37090,44160,59310,67980,73940,2000
14,AL,450,"Anniston, AL ",13-1111,Management Analysts,          30,    47020,22510,38460,46480,58490,67900,2000
15,AL,450,"Anniston, AL ",15-1021,Computer Programmers,          30,    41800,26840,31950,39670,48920,61150,2000
16,AL,450,"Anniston, AL ",15-1051,Computer Systems Analysts,          60,    49360,40240,46120,50260,54430,58660,2000
17,AL,450,"Anniston, AL ",15-1071,Network and Computer Systems Administrators,          30,    43210,30200,35070,43860,51490,56300,2000
18,AL,450,"Anniston, AL ",43-9011,Computer Operators,          40,    25000,17900,20950,24950,29160,33490,2000
19,AL,450,"Anniston, AL ",43-9021,Data Entry Keyers,          50,    18760,15140,16530,18670,21220,22920,2000
20,AL,580,"Auburn-Opelika, AL ",11-3021,Computer and Information Systems Managers,0,    52270,29780,33880,50720,70140,83330,2000
21,AL,580,"Auburn-Opelika, AL ",13-1111,Management Analysts,0,    73860,22230,49490,56380,145601,145601,2000
22,AL,580,"Auburn-Opelika, AL ",15-1021,Computer Programmers,          60,    43350,29780,33430,39470,49430,69950,2000
23,AL,580,"Auburn-Opelika, AL ",15-1051,Computer Systems Analysts,0,    48160,31390,38050,46760,57610,69090,2000
24,AL,580,"Auburn-Opelika, AL ",43-9011,Computer Operators,          50,    21200,13220,18190,20770,24120,31360,2000
25,AL,580,"Auburn-Opelika, AL ",43-9021,Data Entry Keyers,         160,    16930,12070,13400,16130,20480,24540,2000
26,AL,1000,"Birmingham, AL ",11-3021,Computer and Information Systems Managers,         890,    61880,32860,41250,60060,77880,94380,2000
27,AL,1000,"Birmingham, AL ",13-1111,Management Analysts,         690,    63230,29130,40660,54740,74780,113960,2000
28,AL,1000,"Birmingham, AL ",15-1011,"Computer and Information Scientists, Research",          70,    32630,15410,17470,24210,46240,58620,2000
29,AL,1000,"Birmingham, AL ",15-1021,Computer Programmers,        1810,    48350,29590,34000,44590,58510,73230,2000
30,AL,1000,"Birmingham, AL ",15-1031,"Computer Software Engineers, Applications",        1210,    63190,43990,52990,62460,71280,88320,2000
31,AL,1000,"Birmingham, AL ",15-1032,"Computer Software Engineers, Systems Software",         250,    59120,34910,42230,58160,77070,88170,2000
32,AL,1000,"Birmingham, AL ",15-1041,Computer Support Specialists,        1500,    34700,19290,22960,31260,43730,54840,2000
33,AL,1000,"Birmingham, AL ",15-1051,Computer Systems Analysts,        2470,    53700,31300,40400,52530,67140,81010,2000
34,AL,1000,"Birmingham, AL ",15-1061,Database Administrators,         270,    51770,31150,40590,52300,63660,72650,2000
35,AL,1000,"Birmingham, AL ",15-1071,Network and Computer Systems Administrators,         560,    47860,29210,34860,44780,59210,72480,2000
36,AL,1000,"Birmingham, AL ",15-1081,Network Systems and Data Communications Analysts,         380,    51870,28070,41330,51570,60060,77140,2000
37,AL,1000,"Birmingham, AL ",15-2031,Operations Research Analysts,         120,    40880,24140,27550,39830,50890,61700,2000
38,AL,1000,"Birmingham, AL ",15-2041,Statisticians,0,    42270,26510,31200,38400,45970,69780,2000
39,AL,1000,"Birmingham, AL ",17-2061,Computer Hardware Engineers,0,    68340,44540,53300,68180,83650,93810,2000
40,AL,1000,"Birmingham, AL ",19-3021,Market Research Analysts,         280,    58240,32410,39490,52280,72750,97740,2000
41,AL,1000,"Birmingham, AL ",43-9011,Computer Operators,        1030,    28970,15810,18690,24630,37130,44770,2000
42,AL,1000,"Birmingham, AL ",43-9021,Data Entry Keyers,        1290,    21400,15130,17060,20510,24970,28890,2000
43,AL,1000,"Birmingham, AL ",43-9111,Statistical Assistants,          40,    24420,15630,17250,21720,32080,35090,2000
44,AL,1000,"Birmingham, AL ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         790,    36230,20770,28280,37710,43390,50200,2000
45,AL,2030,"Decatur, AL ",11-3021,Computer and Information Systems Managers,          70,    59390,36540,40840,54060,77820,94590,2000
46,AL,2030,"Decatur, AL ",13-1111,Management Analysts,         110,    56210,31300,42980,53080,64920,78510,2000
47,AL,2030,"Decatur, AL ",15-1021,Computer Programmers,          80,    61270,38600,46660,57550,70310,90310,2000
48,AL,2030,"Decatur, AL ",15-1031,"Computer Software Engineers, Applications",0,    61890,47630,52570,61250,70090,82410,2000
